ufa_player_id,norm_name,reason,club,evidence
,,no-match,,
aagami,axel agami,no-match,,
abarnett,alex barnett,no-corroboration,,
abartlett,aaron bartlett,ambiguous,truck stop,jersey:14 years:3
abrouwer,alex brouwer,no-match,,
acaon,anderson canon,no-corroboration,,
acloud,alex cloud,no-match,,
acoffin,abe coffin,no-match,,
acohen,andrew cohen,ambiguous,uproar,city:tampa bay years:1
acurreri,alex curreri,no-match,,
adavis3,anthony davis,ambiguous,pittsburgh temper,city:pittsburgh years:1
adavis4,alex davis,ambiguous,overtime,city:raleigh years:1
adonadio,alex donadio,no-match,,
aengel,austin engel,no-corroboration,,
agrant,andrew grant,no-match,,
agravatt,alex gravatt,no-match,,
aguerrero,alex guerrero,no-corroboration,,
aheath,alex heath,no-match,,
ahipskind,andy hipskind,no-match,,
ajanelle,alex janelle,no-match,,
ajohnson1,austin johnson,ambiguous,mad men,city:madison jersey:91 years:3
akabat,alex kabat,no-match,,
akarklins,arvids karklins,no-match,,
alaws,alex laws,no-match,,
ali,andrew li,ambiguous,north carolina (darkside),jersey:5 years:2
alillis,austin lillis,ambiguous,phoenix f.c.,city:philadelphia jersey:3 years:1
aliu,alex liu,ambiguous,mad men,city:madison jersey:13 years:1
aliu1,alex liu,ambiguous,mad men,city:madison jersey:13 years:1
alopezesc,aidan lopez-escarez,no-match,,
amacisaac,aj macisaac,no-match,,
amiles,aj miles,no-match,,
amiller1,adam miller,ambiguous,chain lightning,city:atlanta jersey:18 years:5
amontanar,andrea montanari,no-match,,
amoore,andrew moore,ambiguous,revolver,jersey:9 years:1
apetersch,aaron peterschmidt,no-corroboration,,
arichards1,aaron richards,ambiguous,bfg,jersey:9
arogers,aidan rogers,ambiguous,dune cats,
athomas,alex thomas,no-corroboration,,
athompson,andrew thompson,ambiguous,ohio (trout),years:4
athorne,alex thorne,no-match,,
athorpe,abby thorpe,no-match,,
awang,andy wang,ambiguous,johns hopkins (dangerzone),years:1
awatson1,andrew watson,ambiguous,public enemy,jersey:97 years:1
awilliams,aidan williams,ambiguous,georgetown (justice),years:1
ayanelli,alex yanelli,no-match,,
bashton,ben ashton,no-match,,
bbarrett,bj barrett,no-match,,
bbolan,ben bolan,no-match,,
bcentracc,ben centracchio,no-match,,
bclose,ben close,no-match,,
bdial,brandon dial,ambiguous,austin disco club,city:austin jersey:27 years:3
bevashavi,ben evashavik,no-match,,
bgagnemay,ben gagne-maynard,no-match,,
bgreen,ben green,no-match,,
bhenley,becca henley,no-match,,
bhoffman,ben hoffman,no-match,,
bhorrisbe,benjamin horrisberger,no-match,,
bhouser,brad houser,no-match,,
biris,bode iris,no-match,,
bjagt,ben jagt,no-match,,
bkassmull,ben kass-mullet,no-match,,
bkatz1,ben katz,no-corroboration,,
blandry,ben landry,no-corroboration,,
blevinsky,ben levinsky,no-match,,
blevy,ben levy,no-corroboration,,
bobryan,billy obryan,no-match,,
bperales,brandon perales,ambiguous,weird,jersey:5 years:1
bpetrowsk,ben petrowski,no-match,,
bprice,ben price,no-corroboration,,
broach,brian roach,ambiguous,ghost train,city:seattle
bschlaefe,biz schlaefer,no-match,,
bsimmons,benjamin simmons,no-corroboration,,
bstreet,brian street,ambiguous,texas (tuff),city:austin jersey:11 years:1
btan,bretton tan,no-match,,
bthompsen,benjamin thompsen,no-match,,
btravers,ben travers,no-match,,
buran,brian uran,no-match,,
bzhang,ben zhang,no-match,,
calbin,cam albin,no-match,,
carevalo,chris arevalo,no-match,,
cbelfield,conor belfield,ambiguous,bfg,city:seattle years:2
cbryant,connor bryant,no-match,,
cburden,cam burden,no-match,,
ccalhoun,chris calhoun,no-match,,
ccasella,chris casella,no-match,,
ccassella,chris cassella,no-match,,
cchan,chris chan,no-match,,
cchanler,cole chanler,no-corroboration,,
ccochran,chance cochran,no-match,,
ccogswell,chris cogswell,no-match,,
ccolbury,calvin colbury,no-match,,
cfurse,charlie furse,no-match,,
chancock,chris hancock,ambiguous,rhino slam,city:portland jersey:9
chenderso,conner henderson,no-match,,
chill,collin hill,ambiguous,chain lightning,city:atlanta jersey:25 years:2
choward,corey howard,no-corroboration,,
cjohnson1,christian johnson,ambiguous,truck stop,jersey:29 years:1
ckline,conor kline,no-corroboration,,
clayden,chris layden,no-match,,
clevine,cam levine,no-match,,
cloverane,coby loveranes,no-match,,
clung,chris lung,no-match,,
cmccutche,charlie mccutcheon,no-match,,
cmclaughl,colin mclaughlin,ambiguous,tufts (elephant men),jersey:22 years:3
cmclaughl1,chris mclaughlin,no-match,,
cmcsweene,caelan mcsweeney,ambiguous,massachusetts (zoodisc),jersey:88 years:2
cparinell,chris parinella,no-match,,
cposey,caleb posey,ambiguous,uproar,city:tampa bay jersey:37 years:2
cressel,cliff ressel,no-match,,
csmith1,colin smith,ambiguous,relics,years:2
cstoughto,calvin stoughton,ambiguous,dig,city:boston jersey:5 years:1
cthatcher,cam thatcher,no-match,,
ctremblay,christophe tremblay-joncas,no-match,,
cward,chris ward,no-match,,
cwariner,cam wariner,no-match,,
cwilliams,cooper williams,no-match,,
cwohl,chris wohl,no-match,,
czaleski,christopher zaleski,no-match,,
dbaker,cameron baker,no-match,,
dbechis,dennis bechis,no-match,,
dbossert,dane bossert,no-corroboration,,
dbyerssim,danielle byers simonelli,no-match,,
delimelec,dena elimelech,ambiguous,fury,jersey:46 years:1
dhall,dylan hall,ambiguous,wright state (airstrike),jersey:16 years:1
dhobday,danny hobday,ambiguous,sub zero,jersey:22 years:1
djacobs,dominic jacobs,no-match,,
dkhoe,danny khoe,no-match,,
dlacombeb,dylan lacombe-burgoyne,no-match,,
dlaird,drew laird,ambiguous,brawl,city:dallas jersey:33 years:1
dlandesma,danny landesman,no-match,,
dlee,daniel lee,ambiguous,rhino slam!,city:portland jersey:41 years:1
dleggio,dominic leggio,no-match,,
dluecke,dex luecke,no-match,,
dlundy,david lundy,no-corroboration,,
dmalderis,didzis malderis,no-match,,
dmcnally,duncan mcnally,no-corroboration,,
dmiller,danny miller,no-match,,
dotterlei,drew otterlei,no-match,,
dramsey,dean ramsey,no-match,,
dsilverst,dan silverstein,no-match,,
dswanson,drew swanson,no-match,,
dvalentin,david valentine-elam,ambiguous,columbus cocktails,jersey:6
dvandam,dan vandam,no-match,,
dvockerot,dan vockeroth,no-match,,
dwilliams2,daniel williams,ambiguous,haymaker,city:chicago years:1
dwiseman,dave wiseman,no-match,,
dyoung1,dan young,no-match,,
dyu,david yu,ambiguous,flight club,years:2
eartemaki,eli artemakis,ambiguous,chicago machine,city:chicago years:4
eatwell,erik atwell,ambiguous,texas state (texas state buckets),years:1
eceballos,esteban ceballos,no-corroboration,,
efinley,eddie finley,no-match,,
eforget,enzo forget,no-match,,
efriedman,eli friedman,ambiguous,rhino slam!,city:portland jersey:7 years:2
ekerns,eli kerns,no-match,,
elee,elliot lee,ambiguous,chicago parlay,city:chicago years:1
emiller,evan miller,ambiguous,queen city kings,years:1
epaulausk,eric paulauskas,no-match,,
eperpich,elliot perpich,no-corroboration,,
ephanglyn,erich phang-lynn,no-match,,
eshipway,emmet shipway,no-match,,
esumbi,edgar sumbi,no-match,,
ffernande,franky fernandez,no-match,,
fgomez,frankie gomez,no-match,,
gcohen,greg cohen,no-match,,
gcolton,gabe colton,no-match,,
gcousins,greg cousins,no-match,,
gdoble,gabriel doble,no-match,,
gdobrozsi,gabe dobrozsi,no-match,,
gdowd,gabe dowd,no-match,,
ghernande,gabriel hernandez,ambiguous,crude ultimate,city:dallas jersey:23
gjagt,gabe jagt,no-match,,
gjohnson,grant johnson,no-corroboration,,
