ufa_player_id,norm_name,club,n_evidence,evidence
aarnstein,atkin arnstein,,3,city:colorado jersey:3 years:2
aarsenaul,andre arsenault,,1,city:montreal
aarsenaul1,alec arsenault,,3,city:ottawa jersey:22 years:1
aatkins,alex atkins,,3,city:colorado jersey:0 years:5
aaucoin,arthur aucoin,,3,city:new york jersey:22 years:1
abanerji,adrian banerji,,1,jersey:38
abarcio,aaron barcio,,3,city:austin;houston jersey:3 years:3
abarden,austin barden,,2,city:seattle years:2
abelfiore,alexander belfiore,,2,city:seattle jersey:26
abenton,alec benton,,2,jersey:32;7 years:2
abonnell,aage bonnell,,3,city:seattle jersey:6 years:1
abordelon,andre bordelon,,2,jersey:12 years:1
aburgess,adam burgess,,3,city:pittsburgh jersey:10 years:1
acameron,alex cameron,,2,city:ottawa jersey:86
acarne,arthur carne,,2,city:madison years:1
acarroll,andrew carroll,,2,city:toronto jersey:3
acisneros,adrian cisneros,,2,jersey:88 years:2
acoble,aaron coble,,2,city:san diego years:2
acurry,aidan curry,,2,jersey:71 years:3
adavis2,antoine davis,,3,city:atlanta;new york jersey:80;81 years:6
adavis5,abbie davis,,2,jersey:14 years:1
adixon,allysha dixon,,1,years:1
adowney,aidan downey,,2,city:atlanta years:4
adriehuys,anil driehuys,,2,jersey:16 years:2
adub,antoine dube,,3,city:montreal jersey:26 years:4
afall,alexandre fall,,1,years:4
afegert,ames fegert,,2,city:houston years:1
afelt,aleksei felt,,2,jersey:1 years:1
aforsberg,alex forsberg,,3,city:salt lake jersey:25 years:4
againes1,austin gaines,,1,years:2
agardner,andrew gardner,,2,city:pittsburgh jersey:44
ageisel,andrew geisel,,1,years:1
aghitterm,avi ghitterman,,1,years:1
agolay,adrian golay,,1,years:1
agordon,archer gordon,,2,jersey:23 years:2
agould,austin gould,,2,jersey:28 years:1
agrigolet,anthony grigoletti,,2,jersey:92 years:1
agrossber,adam grossberg,,3,city:philadelphia jersey:42 years:2
agruntz,alan gruntz,,2,city:pittsburgh jersey:37
agutowsky,anthony gutowsky,,3,city:madison jersey:6 years:4
ahamilton,alex hamilton,,1,years:1
ahartzog,axel hartzog,,1,years:1
ahasbrook,austin hasbrook,,3,city:seattle jersey:77 years:1
ahill1,ashton hill,,2,jersey:5 years:1
ahoffman,ashton hoffman,,1,years:1
ahom,aaron hom,,3,city:oakland jersey:27 years:1
ahsu,aiden hsu,,1,years:1
aindhupur,anish indhupuru,,2,jersey:21 years:2
ajemal,adam jemal,,1,city:seattle
ajirele1,anthony jirele,,1,years:2
ajohnson,avery johnson,,3,city:madison jersey:21 years:4
ajuengst,anders juengst,,3,city:raleigh jersey:16 years:4
akaghazwa,amir kaghazwala,,3,city:oregon jersey:5 years:1
akapinos,alex kapinos,,2,city:boston jersey:84
akelly,austin kelly,,3,city:oregon;portland jersey:26 years:4
akirages,alexander kirages,,2,city:pittsburgh years:1
akolick,alan kolick,,1,years:1
alandis,aiden landis,,2,city:pittsburgh years:3
